issue_type,file_path,line_number,message
info,lib\ui\pages\produk_detail_page.dart:66,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:67,26,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:100,17,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:112,35,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:113,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:126,23,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:151,35,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:165,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:185,35,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:202,23,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:212,41,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:214,38,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:215,40,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:219,27,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:244,33,Don't invoke 'print' in production code
info,lib\ui\pages\produk_detail_page.dart:257,23,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:268,23,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:303,26,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:316,25,Use a 'SizedBox' to add whitespace to a layout
info,lib\ui\pages\produk_detail_page.dart:323,39,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:334,39,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:341,36,Use 'const' with the constructor to improve performance
info,lib\ui\pages\produk_detail_page.dart:361,21,Use 'const' with the constructor to improve performance
info,lib\ui\pages\profile_detail_page.dart:15,9,Constructors for public widgets should have a named 'key' parameter
warning,lib\ui\pages\profile_detail_page.dart:20,15,The value of the local variable 'userProfile' isn't used
info,lib\ui\pages\profile_detail_page.dart:110,27,Use 'const' with the constructor to improve performance
info,lib\ui\pages\profile_detail_page.dart:173,27,Use 'const' with the constructor to improve performance
info,lib\ui\pages\profile_detail_page.dart:177,27,Use 'const' with the constructor to improve performance
info,lib\ui\pages\profile_detail_page.dart:181,27,Use 'const' with the constructor to improve performance
info,lib\ui\pages\profile_detail_page.dart:185,27,Use 'const' with the constructor to improve performance
info,lib\ui\pages\profile_detail_page.dart:189,27,Use 'const' with the constructor to improve performance
info,lib\ui\pages\profile_page.dart:134,7,Don't use 'BuildContext's across async gaps
info,lib\ui\pages\profile_page.dart:136,7,Don't use 'BuildContext's across async gaps
info,lib\ui\pages\profile_page.dart:178,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\profile_page.dart:179,30,Use 'const' with the constructor to improve performance
warning,lib\ui\pages\register_page.dart:48,38,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\register_page.dart:59,38,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\register_page.dart:70,38,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\register_page.dart:81,38,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\register_page.dart:95,38,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\register_page.dart:107,38,"This function has a nullable return type of 'String?', but ends without returning a value"
info,lib\ui\pages\register_page.dart:133,30,Use 'const' with the constructor to improve performance
info,lib\ui\pages\register_page.dart:134,32,Use 'const' with the constructor to improve performance
info,lib\ui\widgets\custom_checkbox.dart:9,9,Constructors for public widgets should have a named 'key' parameter
info,lib\ui\widgets\custom_checkbox.dart:36,15,Use 'const' with the constructor to improve performance
info,lib\ui\widgets\custom_textformfield.dart:91,24,Use 'const' with the constructor to improve performance
info,oometrics.dart:16,11,Function literals shouldn't be passed to 'forEach'
info,oometrics.dart:32,5,Don't invoke 'print' in production code
info,oometrics.dart:34,5,Don't invoke 'print' in production code
info,oometrics.dart:43,5,Don't invoke 'print' in production code
